Store ID,Product ID,Average_Daily_Demand,Demand_Std,Safety_Stock,Reorder_Point,Inventory Level,Recommended_Order,Status
S002,P0010,135.45,112.87,492.73,1440.86,419,1022.0,REORDER
S002,P0011,135.63,108.69,474.48,1423.89,156,1268.0,REORDER
S002,P0012,140.26,111.78,487.97,1469.77,193,1277.0,REORDER
S002,P0013,134.22,106.21,463.66,1403.21,472,931.0,REORDER
S002,P0014,134.41,105.01,458.44,1399.28,342,1057.0,REORDER
S002,P0015,130.79,104.0,454.02,1369.53,433,937.0,REORDER
S002,P0016,138.25,108.41,473.26,1440.99,258,1183.0,REORDER
S002,P0017,132.31,106.46,464.76,1390.94,236,1155.0,REORDER
S002,P0018,140.19,111.49,486.69,1468.05,151,1317.0,REORDER
S002,P0019,131.83,107.43,468.99,1391.78,409,983.0,REORDER
S002,P0020,144.11,113.54,495.64,1504.4,284,1220.0,REORDER
S003,P0001,129.44,106.36,464.3,1370.38,138,1232.0,REORDER
S003,P0002,142.75,111.97,488.81,1488.06,388,1100.0,REORDER
S003,P0003,126.62,102.91,449.24,1335.55,112,1224.0,REORDER
S003,P0004,132.23,104.89,457.88,1383.49,415,968.0,REORDER
S003,P0005,144.2,109.34,477.32,1486.7,411,1076.0,REORDER
S003,P0006,139.77,114.1,498.1,1476.5,451,1026.0,REORDER
S003,P0007,138.8,110.79,483.64,1455.25,108,1347.0,REORDER
S003,P0008,133.88,109.76,479.15,1416.29,103,1313.0,REORDER
S003,P0009,140.47,112.71,492.05,1475.33,496,979.0,REORDER
S003,P0010,136.01,109.32,477.25,1429.31,413,1016.0,REORDER
S003,P0011,138.7,108.62,474.2,1445.12,137,1308.0,REORDER
S003,P0012,137.52,111.91,488.53,1451.19,108,1343.0,REORDER
S003,P0013,147.03,112.6,491.57,1520.78,388,1133.0,REORDER
S003,P0014,143.9,113.02,493.4,1500.68,230,1271.0,REORDER
S003,P0015,138.33,108.01,471.53,1439.83,270,1170.0,REORDER
S003,P0016,141.78,111.65,487.43,1479.89,166,1314.0,REORDER
S003,P0017,143.05,107.78,470.49,1471.81,239,1233.0,REORDER
S003,P0018,132.02,108.3,472.8,1396.94,375,1022.0,REORDER
S003,P0019,142.99,111.2,485.44,1486.36,253,1233.0,REORDER
S003,P0020,137.55,108.51,473.68,1436.56,417,1020.0,REORDER
S004,P0001,138.54,110.97,484.43,1454.19,497,957.0,REORDER
S004,P0002,130.45,103.44,451.59,1364.73,181,1184.0,REORDER
S004,P0003,129.19,107.46,469.11,1373.42,419,954.0,REORDER
S004,P0004,131.07,107.12,467.62,1385.13,105,1280.0,REORDER
S004,P0005,137.22,107.08,467.47,1428.02,217,1211.0,REORDER
S004,P0006,141.1,108.44,473.38,1461.11,364,1097.0,REORDER
S004,P0007,130.38,105.84,462.03,1374.7,134,1241.0,REORDER
S004,P0008,134.57,106.94,466.83,1408.83,390,1019.0,REORDER
S004,P0009,134.6,112.51,491.15,1433.33,115,1318.0,REORDER
S004,P0010,137.79,111.13,485.15,1449.71,382,1068.0,REORDER
S004,P0011,139.74,106.62,465.46,1443.63,155,1289.0,REORDER
S004,P0012,131.77,103.96,453.84,1376.26,85,1291.0,REORDER
S004,P0013,131.39,104.84,457.66,1377.42,113,1264.0,REORDER
S004,P0014,142.14,111.0,484.55,1479.53,386,1094.0,REORDER
S004,P0015,137.71,108.2,472.35,1436.3,56,1380.0,REORDER
S004,P0016,143.33,107.7,470.15,1473.49,314,1159.0,REORDER
S004,P0017,135.6,107.63,469.85,1419.04,100,1319.0,REORDER
S004,P0018,128.62,103.72,452.77,1353.13,83,1270.0,REORDER
S004,P0019,136.52,110.57,482.71,1438.37,65,1373.0,REORDER
S004,P0020,135.84,106.72,465.88,1416.76,249,1168.0,REORDER
S005,P0001,131.05,106.91,466.69,1384.08,300,1084.0,REORDER
S005,P0002,134.32,105.81,461.9,1402.13,253,1149.0,REORDER
S005,P0003,144.55,111.93,488.61,1500.47,98,1402.0,REORDER
S005,P0004,135.21,111.78,487.98,1434.43,158,1276.0,REORDER
S005,P0005,141.86,105.77,461.76,1454.81,372,1083.0,REORDER
S005,P0006,135.25,107.18,467.89,1414.67,491,924.0,REORDER
S005,P0007,138.44,111.88,488.4,1457.46,59,1398.0,REORDER
S005,P0008,133.87,111.2,485.44,1422.53,409,1014.0,REORDER
S005,P0009,136.19,107.78,470.51,1423.87,319,1105.0,REORDER
S005,P0010,137.55,109.46,477.84,1440.71,308,1133.0,REORDER
S005,P0011,136.56,107.51,469.33,1425.24,156,1269.0,REORDER
S005,P0012,134.65,108.38,473.13,1415.71,495,921.0,REORDER
S005,P0013,139.32,107.31,468.47,1443.72,389,1055.0,REORDER
S005,P0014,137.36,111.17,485.3,1446.81,328,1119.0,REORDER
S005,P0015,149.25,115.68,505.0,1549.72,408,1142.0,REORDER
S005,P0016,139.29,111.58,487.09,1462.12,96,1366.0,REORDER
S005,P0017,137.29,108.62,474.17,1435.19,313,1122.0,REORDER
S005,P0018,134.15,109.8,479.31,1418.37,278,1140.0,REORDER
S005,P0019,135.05,108.66,474.35,1419.72,374,1046.0,REORDER
S005,P0020,138.67,111.14,485.18,1455.9,117,1339.0,REORDER
